UUID,TestItem,TestValue
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,10
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-0.9566666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.7883333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.266
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.08199999999999999
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,14
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,9
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-1.2783333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,2.018333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.259
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.087
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,14
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,9
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-0.4683333333333334
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.8533333333333334
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.612
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.5670000000000001
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_blue_Sample#1_Exit#1_Camera#1,35
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_blue_Sample#1_Exit#1_Camera#1,30
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.235
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.2783333333333333
