UUID,TestItem,TestValue
78219b1c-8bee-11ea-b7f6-309c2391d63e,SerialNumber,MTF_test
78219b1c-8bee-11ea-b7f6-309c2391d63e,StationID,MTF#2
78219b1c-8bee-11ea-b7f6-309c2391d63e,Operator,Zhida
78219b1c-8bee-11ea-b7f6-309c2391d63e,DataProcessVersion,V1.0
78219b1c-8bee-11ea-b7f6-309c2391d63e,ProcessingStartTime,20200501T135812
78219b1c-8bee-11ea-b7f6-309c2391d63e,ProcessingEndTime,20200501T135812
