SampleID,Trial,Operator,Exposuretime(ms),Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,Angular uniformity,Spatial uniformity,CU_B,CU_G,CU_R,,,,,,,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B167.04.12,1,Zhida,100,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000273526,0.001661742,0.004648237,20.43402345,5.132172134,,,,,,,,,,2.022223673,2.956650487,3.435371357,4.731040829,4.808015342,8.609360458
19B167.04.21,1,Zhida,100,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000339359,0.001839421,0.004273102,17.25021058,6.346987809,,,,,,,,,,2.038097216,4.860972894,5.194408643,4.498821419,4.239898909,7.813616998
19B167.04.22,1,Zhida,100,New dark field calibration 2020-07-14,IQT-HT1,Red,0.00029373,0.001851621,0.00415014,16.95306526,5.14264873,,,,,,,,,,2.397106925,4.182389763,4.577249493,4.038688309,4.162754309,6.750032419
19B167.04.31,1,Zhida,100,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000406433,0.002178907,0.004950866,23.68492779,5.534734962,,,,,,,,,,1.897128275,4.122347685,3.248644972,5.873131835,5.527406945,9.653186004
19B167.04.32,1,Zhida,100,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000352368,0.001960969,0.004445002,17.102203,4.601858329,,,,,,,,,,2.307455241,6.046176195,7.305283128,5.28656676,5.481327965,8.841225821
19B167.04.11,1,Zhida,150,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000341173,0.001812607,0.005004106,24.89573609,5.515142774,,,,,,,,,,1.85369216,2.868117776,3.193291513,5.008184385,4.964211449,7.623684313
19B167.04.12,1,Zhida,150,New dark field calibration 2020-07-14,IQT-HT1,Red,0.00027958,0.001685702,0.004601821,18.73333029,4.933012135,,,,,,,,,,2.341148497,3.001950287,3.410493276,4.760771639,4.79293643,7.801354218
19B167.04.21,1,Zhida,150,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000342427,0.001842248,0.004114695,15.50448736,5.700458431,,,,,,,,,,2.210663782,5.022879963,5.202071496,4.58747175,4.327845161,7.337772166
19B167.04.22,1,Zhida,150,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000299615,0.001859145,0.004057147,16.23645518,4.725659276,,,,,,,,,,2.729923835,4.268282287,4.559047755,4.072527199,4.181765859,6.423824384
19B167.04.31,1,Zhida,150,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000409807,0.002170098,0.004747915,21.51166222,4.97460927,,,,,,,,,,2.110371481,4.016649167,3.234737587,5.949679775,5.608663888,9.277872528
19B167.04.32,1,Zhida,150,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000358967,0.001977077,0.004307506,16.17688932,4.160277484,,,,,,,,,,2.666788583,5.827627201,7.199454308,5.394217704,5.508838822,8.27911845
19B167.04.11,1,Zhida,30,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000419451,0.001925206,0.005357381,26.40416448,6.671334162,,,,,,,,,,1.113258092,2.164031412,3.413769217,4.69639721,4.908023396,9.89769962
19B167.04.12,1,Zhida,30,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000373861,0.00179706,0.004631451,15.37045737,4.966331583,,,,,,,,,,1.367692758,2.310370509,3.520328828,4.160981206,4.501975116,7.991237385
19B167.04.21,1,Zhida,30,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000437061,0.001966473,0.00434137,9.902278331,6.377954281,,,,,,,,,,1.158569254,3.554366186,5.202226451,4.356362931,4.043433087,5.974010599
19B167.04.22,1,Zhida,30,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.00038681,0.001975891,0.004156583,11.13473228,5.094796912,,,,,,,,,,1.326937269,3.329280039,4.677474627,3.770785269,3.839835286,5.35665379
19B167.04.31,1,Zhida,30,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000493684,0.002295667,0.005128178,12.91171417,5.953851014,,,,,,,,,,1.190271657,2.902257624,3.47963819,5.319417111,5.740778289,9.28918306
19B167.04.32,1,Zhida,30,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000464315,0.002113568,0.004519246,12.62246197,4.632424847,,,,,,,,,,1.240520055,3.962597386,6.914120675,4.521241376,5.176013131,6.793161008
19B167.04.11,1,Zhida,50,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000391163,0.001924639,0.005358015,23.14766422,6.589385862,,,,,,,,,,1.194696971,2.617240015,3.266249827,5.008371695,5.077463225,9.737312351
19B167.04.12,1,Zhida,50,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000333915,0.00178024,0.00462035,15.75258882,4.969072913,,,,,,,,,,1.349552213,2.865437547,3.6190826,4.559411493,4.70475852,8.168885699
19B167.04.21,1,Zhida,50,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000398096,0.001941574,0.00434218,13.07596455,6.444909721,,,,,,,,,,1.630601108,4.876940329,5.298957123,4.634102532,4.30847556,6.530096482
19B167.04.22,1,Zhida,50,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000348966,0.001960219,0.004160097,15.64568122,5.119412648,,,,,,,,,,1.523176426,3.767169837,4.562999088,4.025981606,4.069866235,5.753366682
