SampleID,Date,Trial,Operator,Dicing,Color,TP_Blue,TP_Green,TP_Red,Angular uniformity,Spatial uniformity,CU_Blue,CU_Green,CU_Red,Center contrast_Blue,Center contrast_Green,Center contrast_Red,Mean contrast_Blue,Mean contrast_Green,Mean contrast_Red
19B157.06.21,30-Dec,3,M,N,Red,0.001500,0.004100,0.004100,208.420000,3.910000,7.190000,4.540000,16.610000,3.010000,4.940000,3.930000,4.120000,4.540000,5.740000
19B157.06.22,30-Dec,3,M,N,Red,0.001600,0.004400,0.004700,283.470000,2.620000,8.260000,4.670000,17.550000,1.710000,2.310000,3.990000,3.240000,3.720000,5.780000
19B157.06.31,30-Dec,3,M,N,Red,0.001700,0.005100,0.006500,469.750000,2.610000,8.530000,6.060000,30.460000,2.380000,3.210000,2.430000,4.850000,4.900000,9.780000
19B157.06.32,30-Dec,3,M,N,Red,0.001400,0.004200,0.005300,743.420000,4.290000,5.170000,4.970000,30.560000,2.490000,3.980000,3.130000,4.620000,4.950000,10.270000
19B157.01.11,30-Dec,1,P,N,Red,0.001300,0.003800,0.004800,560.800000,3.370000,6.630000,4.570000,26.240000,2.610000,3.870000,4.210000,3.870000,4.170000,6.920000
19B157.01.12,30-Dec,1,P,N,Red,0.001200,0.003700,0.005400,386.630000,3.090000,6.250000,6.160000,23.600000,2.930000,4.190000,4.500000,5.150000,5.240000,8.180000
19B157.01.21,30-Dec,1,P,N,Red,0.001200,0.003600,0.004800,372.150000,3.650000,5.610000,5.970000,25.030000,3.040000,4.650000,5.550000,4.500000,4.530000,7.010000
19B157.01.22,30-Dec,1,P,N,Red,0.001100,0.003200,0.004200,218.520000,2.650000,4.900000,5.810000,15.620000,2.940000,4.460000,5.730000,4.120000,4.160000,5.440000
19B157.01.31,30-Dec,1,P,N,Red,0.001400,0.004200,0.006200,832.340000,2.980000,7.120000,5.720000,31.450000,2.010000,3.080000,2.760000,4.210000,4.270000,9.100000
19B157.01.32,30-Dec,1,P,N,Red,0.001200,0.003800,0.005400,620.090000,3.390000,6.850000,5.090000,29.560000,2.210000,2.950000,3.660000,4.140000,4.400000,8.440000
19B157.01.11,30-Dec,2,P,N,Red,0.001300,0.003700,0.004800,548.550000,3.340000,6.640000,4.570000,28.760000,2.550000,3.800000,4.170000,3.820000,4.140000,6.810000
19B157.01.12,30-Dec,2,P,N,Red,0.001200,0.003600,0.005500,370.910000,3.140000,6.110000,6.100000,23.080000,2.970000,4.240000,4.560000,5.000000,5.160000,8.150000
19B157.01.21,30-Dec,2,P,N,Red,0.001300,0.003800,0.004700,294.240000,3.620000,5.610000,5.930000,23.100000,2.990000,4.560000,5.450000,4.570000,4.580000,7.030000
19B157.01.22,30-Dec,2,P,N,Red,0.001100,0.003300,0.004200,222.420000,2.710000,4.660000,5.840000,15.910000,2.950000,4.490000,5.740000,4.210000,4.230000,5.520000
19B157.01.31,30-Dec,2,P,N,Red,0.001300,0.004200,0.006200,683.960000,2.930000,7.410000,5.670000,31.470000,1.990000,3.040000,2.700000,4.150000,4.240000,8.900000
19B157.01.32,30-Dec,2,P,N,Red,0.001300,0.003800,0.005400,734.790000,3.450000,6.180000,5.160000,30.950000,2.220000,2.960000,3.630000,4.200000,4.460000,8.750000
19B157.01.11,30-Dec,3,P,N,Red,0.001300,0.003700,0.004800,601.060000,3.480000,6.410000,4.720000,27.450000,2.760000,4.080000,4.450000,3.880000,4.140000,7.290000
19B157.01.12,30-Dec,3,P,N,Red,0.001300,0.003800,0.005400,412.960000,3.070000,6.960000,5.980000,23.220000,2.910000,4.160000,4.480000,5.180000,5.270000,8.180000
