SampleID,Trial,Operator,Exposure,Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,AU,SU,CU_B,CU_G,CU_R,dummy1,dummy2,dummy3,dummy4,dummy5,dummy6,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B167.04.21,5,AP,AE,Radiant,IQT4,Red,0.001608103,0.00403313,0.004311105,150,4,5.8,4.3,12.9,,,,,,,3.08668735,5.10952806,5.071669446,4.063842683,4.080883671,5.603979812
19B251.13.21,1,AP,AE,Radiant,IQT4,Blue,0.003183514,0.005224079,0.001809582,50,1.6,4.3,7,17,,,,,,,16.18864822,15.88365195,2.468311228,7.380020936,13.76399585,26.39895112
19B251.13.21,2,AP,AE,Radiant,IQT4,Blue,0.003177559,0.005229152,0.001806796,51,1.6,4.3,7,16.4,,,,,,,16.53017654,16.05514915,2.427622866,7.436587791,13.72910182,26.29549956
19B251.13.21,3,AP,AE,Radiant,IQT4,Blue,0.003141458,0.00513355,0.001790728,47,1.6,4.3,7.1,18.1,,,,,,,16.05968216,15.98709658,2.481761358,7.254843585,13.61638138,26.46256338
19B251.13.21,4,AP,AE,Radiant,IQT4,Blue,0.003153358,0.005174413,0.001789713,49,1.6,4.3,7,17.6,,,,,,,16.92260204,16.35188249,2.385825638,7.32686533,13.57703114,26.30858797
19B251.13.21,5,AP,AE,Radiant,IQT4,Blue,0.003063167,0.005103835,0.001785023,49,1.6,4.3,7,17.1,,,,,,,16.64565371,16.06138243,2.351215547,7.205267783,13.68310071,26.20432158
19B301.06.21,1,AP,AE,Radiant,IQT4,Red,0.002997128,0.006689391,0.006302454,595,3.5,4.7,4.3,30.4,,,,,,,2.059438657,3.573522449,6.708811527,5.663139172,5.717871241,7.264199616
19B301.06.21,2,AP,AE,Radiant,IQT4,Red,0.002993296,0.006681244,0.006301936,584,3.4,4.6,4.3,28.7,,,,,,,2.055020619,3.576523584,6.720941671,5.671219989,5.726115512,7.272173583
19B301.06.21,3,AP,AE,Radiant,IQT4,Red,0.003015486,0.006719756,0.006291438,611,3.5,4.6,4.3,28.3,,,,,,,2.054359014,3.547728141,6.616539222,5.704259189,5.76231012,7.289761771
19B301.06.21,4,AP,AE,Radiant,IQT4,Red,0.003050985,0.006783423,0.006212618,572,3.5,4.9,4.3,30.6,,,,,,,2.025322478,3.494759066,6.436663773,5.749069303,5.796096137,7.349358291
