SampleID,Wgcolor,mtf_x_blue,mtf_x_green,mtf_x_red,mtf_y_blue,mtf_y_green,mtf_y_red,cra_x_blue,cra_x_green,cra_x_red,cra_y_blue,cra_y_green,cra_y_red,A,B,Average,A,B,Average,,blue,green,red,blue,green,red,blue,green,red,,,,,,,,,,
19b158.10.32,Blue,13.900000,17.900000,,16.000000,18.900000,,1.400000,1.000000,,1.600000,1.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.11.11,Blue,19.700000,19.800000,,14.200000,16.300000,,0.170000,0.260000,,-2.020000,0.220000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.11.12,Blue,24.400000,24.200000,,19.300000,21.100000,,-0.960000,-0.550000,,3.120000,2.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.11.21,Blue,21.700000,25.400000,,19.000000,22.000000,,1.330000,0.860000,,-0.080000,0.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.11.22,Blue,25.800000,25.100000,,21.600000,22.100000,,1.690000,1.010000,,0.100000,0.810000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.11.31,Blue,19.500000,25.400000,,17.600000,22.000000,,2.430000,1.180000,,-0.610000,0.690000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.11.32,Blue,16.800000,20.600000,,17.900000,19.700000,,1.230000,0.650000,,1.370000,1.590000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.12.11,Blue,20.400000,20.200000,,17.000000,19.600000,,-1.000000,-0.300000,,-1.000000,0.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.12.12,Blue,20.300000,20.500000,,19.800000,20.700000,,-1.500000,-0.500000,,3.300000,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.12.21,Blue,24.300000,25.200000,,20.500000,22.100000,,0.800000,0.800000,,0.800000,1.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.12.22,Blue,25.800000,25.700000,,20.300000,22.100000,,1.000000,0.700000,,0.200000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.12.31,Blue,19.000000,24.900000,,17.700000,21.600000,,2.900000,1.600000,,-0.400000,1.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.12.32,Blue,16.400000,18.800000,,17.900000,18.900000,,0.900000,0.400000,,1.600000,1.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.13.11,Blue,19.400000,21.300000,,16.600000,19.800000,,-0.900000,-0.100000,,-0.700000,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.13.12,Blue,23.600000,23.400000,,19.700000,21.100000,,-1.400000,-0.700000,,3.000000,2.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.13.21,Blue,23.800000,25.200000,,19.400000,21.700000,,0.600000,0.700000,,1.500000,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.13.22,Blue,22.000000,22.100000,,18.200000,19.900000,,0.500000,0.300000,,0.400000,1.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.13.31,Blue,22.700000,25.600000,,19.700000,22.800000,,1.900000,1.000000,,0.200000,1.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.13.32,Blue,16.100000,20.900000,,17.400000,19.600000,,1.200000,0.700000,,2.100000,2.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.01.11,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.01.12,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.01.21,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.01.22,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.01.31,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.01.32,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.02.11,Blue,16.800000,19.300000,,14.800000,18.200000,,-2.600000,-1.100000,,-1.400000,0.400000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.02.12,Blue,23.600000,24.300000,,18.800000,21.700000,,-2.200000,-1.400000,,2.300000,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.02.21,Blue,20.600000,25.300000,,16.000000,20.200000,,1.000000,0.800000,,0.300000,1.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.02.22,Blue,26.100000,25.500000,,21.600000,22.900000,,0.800000,0.500000,,1.400000,1.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.02.31,Blue,20.000000,25.000000,,17.400000,20.400000,,3.100000,1.700000,,-0.700000,1.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b162.02.32,Blue,17.400000,17.400000,,18.300000,18.700000,,1.700000,0.700000,,2.000000,2.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.12.11,Blue,19.500000,20.600000,,16.600000,19.500000,,-2.500000,-1.500000,,-0.300000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.12.12,Blue,22.200000,22.900000,,17.800000,20.000000,,-2.300000,-1.700000,,2.700000,2.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.12.21,Blue,25.100000,25.700000,,20.900000,21.700000,,0.700000,0.400000,,0.800000,1.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.12.22,Blue,26.400000,24.600000,,21.700000,22.000000,,-0.200000,-0.300000,,1.300000,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.12.31,Blue,20.400000,23.900000,,18.700000,21.400000,,1.800000,0.700000,,0.200000,1.400000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.12.32,Blue,15.500000,17.800000,,17.700000,18.600000,,1.000000,0.100000,,2.200000,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.13.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.13.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.13.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.13.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.13.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b163.13.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.02.11,Blue,17.500000,17.500000,,15.500000,17.800000,,-2.500000,-1.000000,,-1.700000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.02.12,Blue,18.800000,21.100000,,19.400000,21.400000,,-2.800000,-1.300000,,2.900000,2.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.02.21,Blue,24.700000,25.700000,,18.500000,20.100000,,0.700000,0.600000,,-1.200000,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.02.22,Blue,18.500000,22.800000,,18.300000,20.800000,,0.300000,0.400000,,1.900000,1.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.02.31,Blue,19.700000,24.200000,,17.600000,20.600000,,3.200000,1.800000,,-1.400000,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.02.32,Blue,17.200000,17.700000,,18.800000,18.700000,,2.400000,1.300000,,2.500000,2.400000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.03.11,Blue,13.900000,14.000000,,11.500000,11.500000,,-2.600000,-2.600000,,-1.960000,-2.020000,,0,-1.96,-2.02,0,,,,,,,,,,,,,,,,,,,,,,
19b171.03.12,Blue,21.100000,21.100000,,19.600000,19.600000,,-1.800000,-1.800000,,2.620000,2.650000,,0,2.62,2.65,0,,,,,,,,,,,,,,,,,,,,,,
19b171.03.21,Blue,19.400000,19.400000,,17.300000,17.300000,,1.100000,1.100000,,-1.360000,-1.350000,,0,-1.36,-1.35,0,,,,,,,,,,,,,,,,,,,,,,
19b171.03.22,Blue,24.400000,24.400000,,21.200000,21.200000,,0.300000,0.300000,,1.300000,1.290000,,0,1.3,1.29,0,,,,,,,,,,,,,,,,,,,,,,
19b171.03.31,Blue,19.900000,19.900000,,16.700000,16.700000,,3.100000,3.000000,,-1.780000,-1.800000,,0,-1.78,-1.8,0,,,,,,,,,,,,,,,,,,,,,,
19b171.03.32,Blue,17.300000,17.300000,,18.400000,18.400000,,3.400000,3.400000,,2.950000,2.980000,,0,2.95,2.98,0,,,,,,,,,,,,,,,,,,,,,,
19b171.04.11,Blue,16.600000,16.500000,,13.200000,13.200000,,-2.300000,-2.300000,,-3.200000,-3.190000,,0,-3.2,-3.19,0,,,,0.38%,0.82%,0.27%,76%,69%,41%,8.2,16.9,32,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.04.12,Blue,21.200000,21.300000,,18.800000,18.900000,,-2.400000,-2.300000,,2.770000,2.830000,,0,2.77,2.83,0,,,,0.43%,0.75%,0.20%,79%,69%,39%,10.8,18.5,33.5,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.04.21,Blue,21.100000,21.200000,,16.900000,16.900000,,0.900000,0.800000,,-2.580000,-2.560000,,0,-2.58,-2.56,0,,,,0.47%,0.92%,0.20%,80%,70%,40%,10.1,14.4,24.3,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.04.22,Blue,26.500000,26.000000,,22.300000,22.900000,,1.000000,0.800000,,0.690000,1.180000,,0,0.69,1.18,0,,,,0.25%,0.45%,0.17%,71%,66%,39%,7.9,13.5,30.4,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.04.31,Blue,20.000000,20.000000,,16.400000,16.400000,,3.000000,3.100000,,-2.750000,-2.810000,,0,-2.75,-2.81,0,,,,0.38%,0.77%,0.27%,76%,68%,40%,10.1,17.9,35.9,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.04.32,Blue,19.400000,18.800000,,21.300000,19.600000,,3.000000,1.800000,,1.750000,1.910000,,0,1.75,1.91,0,,,,0.39%,0.76%,0.23%,71%,65%,39%,12,22.9,38.2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.05.11,Blue,6.200000,11.100000,,6.200000,11.400000,,-0.600000,0.000000,,-2.060000,0.400000,,0,-2.06,0.4,0,,,,,,,,,,,,,,,,,,,,,,
19b171.05.12,Blue,19.100000,22.600000,,18.300000,21.600000,,-2.600000,-1.300000,,3.170000,2.860000,,0,3.17,2.86,0,,,,,,,,,,,,,,,,,,,,,,
19b171.05.21,Blue,18.300000,23.100000,,16.900000,19.000000,,0.800000,1.000000,,-0.700000,0.590000,,0,-0.7,0.59,0,,,,,,,,,,,,,,,,,,,,,,
19b171.05.22,Blue,25.600000,26.100000,,21.700000,22.800000,,0.700000,0.500000,,1.070000,1.360000,,0,1.07,1.36,0,,,,,,,,,,,,,,,,,,,,,,
19b171.05.31,Blue,11.100000,18.700000,,11.500000,15.400000,,3.300000,1.800000,,-1.990000,0.180000,,0,-1.99,0.18,0,,,,,,,,,,,,,,,,,,,,,,
19b171.05.32,Blue,18.300000,18.300000,,19.700000,19.200000,,2.700000,1.500000,,2.250000,2.270000,,0,2.25,2.27,0,,,,,,,,,,,,,,,,,,,,,,
19b171.06.11,Blue,17.100000,17.800000,,14.600000,18.400000,,-2.400000,-1.100000,,-0.900000,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.06.12,Blue,24.000000,24.400000,,20.600000,21.700000,,-2.200000,-1.300000,,2.300000,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.06.21,Blue,25.300000,25.600000,,20.900000,21.700000,,0.900000,0.900000,,0.300000,0.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.06.22,Blue,12.400000,13.600000,,13.000000,16.300000,,0.900000,0.500000,,0.200000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.06.31,Blue,20.800000,24.300000,,18.800000,21.100000,,2.600000,1.500000,,-0.600000,0.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.06.32,Blue,10.600000,12.400000,,13.600000,15.400000,,0.600000,0.600000,,2.100000,2.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.08.11,Blue,18.000000,19.100000,,17.800000,19.900000,,-1.900000,-0.630000,,-0.760000,0.460000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.08.12,Blue,23.700000,23.900000,,20.500000,21.500000,,-1.410000,-0.720000,,1.860000,2.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.08.21,Blue,24.600000,25.600000,,19.600000,22.200000,,0.210000,0.530000,,0.660000,1.160000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.08.22,Blue,26.200000,24.400000,,22.900000,22.400000,,0.110000,0.330000,,1.040000,1.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.08.31,Blue,22.800000,24.100000,,19.700000,21.900000,,1.770000,0.880000,,-0.140000,1.150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.08.32,Blue,17.200000,18.400000,,18.000000,18.900000,,1.310000,0.640000,,1.900000,2.110000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.09.11,Blue,17.400000,19.700000,,16.900000,19.800000,,-1.560000,-0.210000,,-0.240000,0.760000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.09.12,Blue,23.600000,22.600000,,21.300000,20.800000,,-1.580000,-0.590000,,2.840000,2.740000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.09.21,Blue,22.600000,25.700000,,18.800000,22.200000,,0.930000,0.700000,,0.380000,1.110000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.09.22,Blue,23.000000,22.900000,,20.500000,21.400000,,-0.100000,0.170000,,0.810000,1.170000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.09.31,Blue,21.100000,25.700000,,18.300000,21.100000,,2.490000,1.340000,,-0.770000,0.740000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.09.32,Blue,17.900000,20.000000,,18.800000,19.200000,,1.310000,0.710000,,2.310000,2.280000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.10.11,Blue,7.900000,12.600000,,10.300000,16.000000,,-0.580000,-0.680000,,-1.940000,0.180000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.10.12,Blue,24.400000,24.400000,,21.100000,21.900000,,-1.370000,-0.900000,,2.150000,2.260000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.10.21,Blue,24.300000,25.000000,,10.200000,13.100000,,-0.260000,-0.050000,,0.340000,0.810000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.10.22,Blue,26.100000,24.600000,,21.000000,22.000000,,1.190000,0.870000,,0.490000,1.270000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.10.31,Blue,22.900000,24.800000,,19.300000,21.900000,,2.210000,1.260000,,0.120000,1.390000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.10.32,Blue,15.200000,18.100000,,17.400000,18.800000,,0.880000,0.700000,,2.060000,2.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b171.12.11,Blue,24.900000,23.100000,,18.700000,20.800000,,-2.090000,-1.690000,,-2.240000,-0.950000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.12.12,Blue,23.600000,23.200000,,20.700000,21.800000,,-1.600000,-0.910000,,3.210000,3.040000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.12.21,Blue,22.400000,25.900000,,19.800000,22.900000,,0.110000,-0.330000,,-0.910000,-0.400000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.12.22,Blue,25.600000,25.300000,,21.300000,22.200000,,1.900000,1.390000,,0.720000,1.490000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.12.31,Blue,18.600000,23.600000,,17.900000,21.300000,,3.620000,2.090000,,-0.250000,1.260000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b171.12.32,Blue,16.500000,18.000000,,17.500000,18.700000,,1.080000,0.510000,,1.540000,1.840000,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b157.03.11,Red,,11.000000,15.100000,,8.400000,16.900000,,-3.800000,-2.600000,,-2.900000,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
19b157.03.12,Red,,10.900000,15.700000,,8.400000,16.900000,,-6.100000,-3.800000,,2.100000,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
19b157.03.21,Red,,12.000000,15.300000,,8.000000,15.700000,,0.100000,0.000000,,-0.400000,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
19b157.03.22,Red,,11.900000,18.000000,,6.700000,16.900000,,0.300000,0.000000,,-0.500000,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
19b157.03.31,Red,,10.000000,9.700000,,8.700000,12.700000,,4.300000,2.700000,,-4.500000,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
19b157.03.32,Red,,11.100000,15.300000,,7.500000,16.600000,,3.300000,2.200000,,0.600000,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
19b157.04.11,Red,,8.500000,16.700000,,8.300000,18.300000,,-4.600000,-3.000000,,-4.000000,-2.3,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
