Operator,SampleID,Diced,Repeat,MTF30_x_Blue,MTF30_x_Green,MTF30_x_Red,MTF30_y_Blue,MTF30_y_Green,MTF30_y_Red,MTF_x@15lp/deg_Blue,MTF_x@15lp/deg_Green,MTF_x@15lp/deg_Red,MTF_y@15lp/deg_Blue,MTF_y@15lp/deg_Green,MTF_y@15lp/deg_Red,CRA_x_Blue(arcmin),CRA_x_Green(arcmin),CRA_x_Red(arcmin),CRA_y_Blue(arcmin),CRA_y_Green(arcmin),CRA_y_Red(arcmin),CRA_x_Blue_Calibr(arcmin),CRA_x_Green_Calibr(arcmin),CRA_x_Red_Calibr(arcmin),CRA_y_Blue_Calibr(arcmin),CRA_y_Green_Calibr(arcmin),CRA_y_Red_Calibr(arcmin)
P,19b164.07.31,Y,3,19.57142857,24,0,16.35294118,19.08,0,0.442,0.518,0,0.331,0.416,0,2.39,1.14,0,-0.71,0.87,0,0.19,0.19,0,1.08,1.14,0
P,19b164.09.22,Y,1,17.60714286,22.85714286,0,15.55172414,18.26923077,0,0.376,0.494,0,0.316,0.395,0,1.67,0.32,0,-0.43,1.34,0,0.07,0.07,0,1.19,1.23,0
P,19b164.09.22,Y,2,18.58333333,22.61904762,0,15.5862069,19.5,0,0.398,0.49,0,0.317,0.419,0,1.9,0.38,0,-0.58,1.15,0,0.13,0.13,0,0.99,1.06,0
P,19b164.09.22,Y,3,16.8,21.95454545,0,16.44444444,18.72,0,0.35,0.474,0,0.343,0.403,0,1.72,0.39,0,-0.52,1.29,0,0.22,0.2,0,1.08,1.13,0
P,19b175.08.11,Y,1,0,10.75510204,16.8,0,15.05555556,17.16666667,0,0.128,0.35,0,0.301,0.357,0,-5.06,-3.5,0,-4.85,-2.11,0,0.02,0.01,0,1.13,1.19
P,19b175.08.11,Y,2,0,7.855263158,14.53125,0,11.34210526,15.90322581,0,0.124,0.285,0,0.202,0.328,0,-5.14,-3.82,0,-4.7,-2.02,0,0.1,0.12,0,1.04,1.06
P,19b175.08.11,Y,3,0,11.09615385,16.92307692,0,14.52631579,17.29166667,0,0.133,0.354,0,0.291,0.36,0,-4.93,-3.49,0,-4.91,-2.1,0,0.06,0.09,0,1.06,1.1
P,19b175.09.21,Y,1,0,11.38888889,18.10526316,0,7.846153846,16.15789474,0,0.191,0.375,0,0.104,0.328,0,0.41,0.38,0,-3.43,-2.64,0,0.12,0.1,0,1.07,1.14
P,19b175.09.21,Y,2,0,11.35135135,19.29411765,0,8.268292683,16.52631579,0,0.178,0.395,0,0.113,0.337,0,0.42,0.36,0,-3.18,-2.62,0,0.08,0.1,0,1.04,1.1
P,19b175.09.21,Y,3,0,10.34883721,17.25,0,8.52173913,15.92857143,0,0.128,0.358,0,0.133,0.326,0,0.19,0.16,0,-3.21,-2.5,0,0.11,0.13,0,1.04,1.09
P,19b175.09.22,Y,1,0,9.583333333,16.875,0,7.806451613,16.35,0,0.121,0.352,0,0.114,0.334,0,0.55,0.37,0,-1.09,-0.87,0,0.2,0.19,0,1.15,1.18
P,19b175.09.22,Y,2,0,11.97368421,19.33333333,0,8.444444444,18.375,0,0.203,0.413,0,0.136,0.375,0,0.73,0.52,0,-1.14,-1.01,0,0.1,0.13,0,1.12,1.16
P,19b175.09.22,Y,3,0,10.27906977,17.83333333,0,8,17.21052632,0,0.141,0.377,0,0.121,0.351,0,0.74,0.48,0,-1.11,-0.89,0,0.09,0.08,0,1.14,1.16
P,19b175.10.32,Y,1,0,9.977777778,13.70588235,0,7.295774648,14.34482759,0,0.181,0.276,0,0.051,0.281,0,2.62,1.91,0,1.19,-1.04,0,0.17,0.19,0,1.07,1.1
P,19b175.10.32,Y,2,0,10.03125,14.05555556,0,7.465753425,14.42857143,0,0.177,0.283,0,0.056,0.284,0,2.63,1.96,0,1.09,-1.12,0,0.08,0.08,0,1.07,1.14
P,19b175.10.32,Y,3,0,9.408163265,12.36363636,0,7.139240506,14.03571429,0,0.14,0.244,0,0.073,0.273,0,2.49,1.79,0,0.92,-1.14,0,0.18,0.15,0,1.07,1.11
P,19b175.12.32,Y,1,0,7.337209302,9.328358209,0,6.219178082,13.43243243,0,0.068,0.075,0,0.012,0.247,0,2.57,1.96,0,2.21,0.71,0,0.13,0.14,0,1.11,1.13
P,19b175.12.32,Y,2,0,12.02564103,19.65,0,7.368421053,19.04,0,0.191,0.412,0,0.064,0.389,0,3.17,2.57,0,1.73,0.07,0,0.06,0.05,0,1.06,1.12
P,19b175.12.32,Y,3,0,10.42553191,16.26086957,0,7.266666667,17.22222222,0,0.131,0.335,0,0.089,0.352,0,3.1,2.32,0,1.64,0.22,0,0.07,0.1,0,1.11,1.14
